District,"
Lack of transport","
Inadequate financial means","
Not permitted by Husband / Other family members ","
Pregnancy or sexual health problems","
GBV or threats to safety","
Burden of care ","
Domestic responsibility ",Training Institute too far,Training not useful,Did not need training,Did not have time,Don't Know
Bahawalpur,6.315480709,15.55367661,21.50604057,0.702448905,0.201173395,19.44599342,47.26830673,23.90589905,4.365878582,30.32964706,20.6369648,1.244403958
Bahawalnagar,9.110646248,28.30592918,12.12025738,0,0.123669498,14.38300037,52.92065048,12.87307453,2.286530256,7.917346478,30.51676178,2.157373905
RY Khan,14.12376308,14.34844112,25.76714897,4.149277687,1.133919835,28.54812241,55.23521423,12.28983879,1.04221189,18.29669762,13.27866364,1.158381343
DG Khan,3.322005033,17.89895439,24.21239662,0.135945708,0,5.178060532,36.56112289,13.49828815,1.050186753,39.4769249,17.97676468,1.092131257
Layyah,20.44977951,32.92688751,33.44056702,0.272175074,0.079724483,13.47212029,62.51247787,16.61373901,2.707629919,10.42487907,17.86074448,0.910524487
Muzaffargarh,18.86612701,21.4794426,39.54146194,1.428561687,1.053292394,16.88620186,47.10590363,13.88272476,4.331338406,23.42304993,13.1206398,4.228204727
Rajanpur,6.447167873,29.26016808,27.92285156,5.590584755,0.278124422,26.001688,57.32601547,3.438904762,3.284122467,18.7463932,31.34021378,0.561440945
Faisalabad,3.014299631,17.50715828,10.89134216,0,0.096713677,5.70938921,45.47097397,3.860106468,1.199258447,33.13145065,22.51667595,0.216213405
Chiniot,5.290244102,18.59836769,15.05468655,0.225195751,0.048796847,9.458685875,50.26971817,2.688947439,1.719865322,35.73154831,14.96578407,1.409579158
Jhang,8.205884933,12.58397007,28.97784805,0.319841534,0.279291749,25.9034462,62.82032013,16.08566856,19.08206558,32.96060944,51.27939606,6.383734226
TT Singh,6.100996494,23.20599747,20.42128944,0.537717044,0.10673552,14.96579456,55.42123413,11.63353443,2.119801044,17.57723618,42.3014679,0
Gujranwala,7.115638733,17.8858242,18.67708778,0.708259165,1.114584923,11.65911388,49.15813446,6.732236385,1.921636224,27.32209206,24.3350544,1.481713295
Gujrat,3.065287352,11.19310856,9.630366325,0.163368642,0.369169176,14.25002098,41.09016418,3.627386093,1.358836412,45.2676239,25.43969536,0.933514893
Hafizabad,3.131478548,14.03649044,19.67672348,0.064686254,0,6.698599339,38.75849152,7.099132061,1.144591689,23.1451416,35.78971481,2.681884527
Mandi Bahauddin,7.79991293,16.50317574,14.0744524,0.15975754,0,8.360928535,64.66674042,15.17771626,3.801643372,13.20669365,20.18968773,1.565878034
Narowal,10.80333138,38.99586868,37.00476074,0.227373511,0.658771634,32.8072052,71.35756683,12.33531189,9.136371613,13.57305336,29.86945343,1.500860572
Sialkot,14.59444427,23.6831131,13.65428066,0.612975597,0.34749651,10.9914217,35.11683273,18.61399078,11.44586086,26.21631432,58.19358063,1.37624073
Lahore,3.839506626,4.653439045,14.71080112,0.119264945,0,12.77639675,44.32636261,2.226502419,2.557193041,37.5608139,20.54990578,3.254234076
Kasur,4.845815659,10.91832638,4.633118629,0.118255131,0.239312813,9.603527069,68.57197571,1.705150604,2.054673195,24.05037117,33.98899841,5.755604267
Nankana Sahib,0.273591965,2.616177559,5.245923996,0.053433616,0.220165774,7.241479874,60.82603073,3.994827032,1.943280816,20.86427498,20.37363434,1.069294453
Sheikhupura,2.57889843,19.30112267,17.33612633,0,0.195451066,11.34387875,50.79753113,3.274381876,3.694585085,20.90846443,26.04306793,1.942175269
Multan,8.002518654,17.35328674,26.99884987,0.093970686,0,19.00218201,52.44688797,15.89763355,1.868080974,20.74343491,18.58954811,0
Khanewal,11.08094311,21.65985489,22.6223774,0.720008671,0.62343359,21.07894325,47.09853745,12.05500412,1.850914359,34.4315834,25.25805092,0.852465212
Lodhran,6.25556612,11.89414787,15.47701073,0,0,10.50238419,47.02787018,12.34145737,5.919481277,35.38619614,29.54945374,1.033271074
Vehari,8.608118057,18.95440674,10.93401623,4.563751221,0.854993343,9.805924416,35.37158966,9.494465828,3.013221979,23.41487694,24.35012054,1.508587122
Rawalpindi,13.90362644,18.51169395,18.57315063,4.206983566,5.279980183,20.52989388,52.76937103,13.91495705,5.316703796,19.17795372,38.74464035,1.010077238
Attock,4.092993736,5.631210804,7.393083096,0.13583976,0.227307796,10.87099648,40.04738998,2.939768314,1.548607945,29.4851799,25.89263153,8.372331619
Chakwal,7.489552021,17.88108826,13.07572269,0.986197531,0.204511568,12.5736227,48.90119934,8.079859734,0.204152986,20.27918053,48.72889328,1.131169319
Jhelum,8.791083336,12.16052628,5.302819252,0.299993128,0.409732431,10.7212019,36.49127579,6.78245163,1.80520618,23.10940361,39.6931572,1.05520606
Sahiwal,5.677249432,34.14837646,21.83620834,0.77950877,0,10.75803757,53.47898483,2.153423786,0.903851092,40.85240555,31.36166954,0.627631366
Okara,2.183743,17.96826172,12.37986088,0.28105399,0.168509901,6.512578011,34.55585098,7.807693958,3.297049761,41.34790421,28.64978981,0.517753065
Pakpattan,11.70568752,19.74812508,12.74795723,0.138380572,0,15.03372955,53.02097702,6.655211449,1.277981281,14.32085514,27.56780052,2.394967794
Sargodha,1.463634372,16.70060539,13.34021473,0.411627799,0.111525349,8.476285934,51.86582947,6.36210537,0.718556225,31.54941177,15.70585155,2.357300043
Bhakkar,3.223875284,20.29296875,17.4516716,0,0.090591922,11.22749329,42.74396133,8.062185287,2.088444471,10.70271397,28.80582619,1.557537317
Khushab,13.71928406,9.966745377,22.98204994,0,0.681958318,8.112748146,68.27604675,19.98659706,3.610630274,18.48897743,32.57812881,2.347205639
Mianwali,3.746811152,11.00337505,20.20824814,0,0,14.94945908,69.19416046,7.373932362,0.381228834,13.58189106,14.47678757,3.203306437
Punjab,7.361040115,16.81031799,18.08482742,0.838253677,0.555858731,13.84936237,49.26407623,9.158951759,3.13929534,27.16602898,26.22877121,1.885946035